name,country_parent,total,dems,repubs
Bayer Corp (Bayer AG),Germany/Bayer AG,"$123,000","$48,500","$74,500"
Bayer CropScience (Bayer AG),Germany/Bayer AG,"-$4,500","-$4,500",$0
BBVA USA,Spain/Banco Bilbao Vizcaya Argentaria,"$176,500","$65,000","$111,500"
Beam Suntory (Suntory Holdings),Japan/Suntory Holdings,"$20,831","$12,000","$8,831"
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$91,800","$45,300","$46,500"
BMO Financial Corp (Bank of Montreal),Canada/Bank of Montreal,"$2,500","$2,500",$0
Boehringer Ingelheim Corp,Germany/CH Boehringer Sohn,"$54,500","$25,000","$29,500"
Bombardier Transportation USA (Bombardier Inc),Canada/Bombardier Inc,"$35,000","$23,000","$12,000"
BP,UK/BP PLC,"$194,500","$65,000","$129,500"
Bridgestone Americas,Japan/Bridgestone Corp,"$7,500","$3,500","$4,000"
Bumble Bee Foods,UK/Lion Capital,"$2,500","$2,500",$0
"Burson, Cohn & Wolfe (WPP Group)",UK/WPP Group,"$24,500","$8,500","$16,000"
Buzzi Unicem USA (Buzzi Unicem SpA),Italy/Buzzi Unicem SpA,$500,$0,$500
CalPortland Co,Japan/Taiheiyo Cement Co,"$52,500","$10,000","$42,500"
Cardtronics Inc,UK/Cardtronics Plc,"$5,000","$4,000","$1,000"
Carmeuse Lime,Netherlands/Carmeuse Holding SA,$0,$0,$0
Case New Holland,Netherlands/CNH Global,"$58,500","$2,500","$56,000"
CEMEX Inc,Mexico/CEMEX SA de CV,"$84,500","$34,000","$50,500"
CGI Technologies & Solutions,Canada/Groupe CGI,"$25,500","$18,500","$7,000"
Chicago Bridge & Iron (McDermott International),Panama/McDermott International,"$5,470",$470,"$5,000"
Chubb Group of Insurance Companies,Switzerland/Chubb Ltd,"$108,000","$55,500","$52,500"
CIBC Bancorp,Canada/Canadian Imperial Bank of Commerce,"$3,000","$2,000","$1,000"
Cirrus Aircraft Corp,China/China Aviation Industry General Aircraft,"$1,500","$1,500",$0
Cobham Management Services,UK/Cobham PLC,"$64,000","$13,500","$50,500"
Continental Automotive Systems (Continental AG),Germany/Continental AG,"$37,500","$18,500","$19,000"
Covestro LLC (Covestro AG),Germany/Covestro AG,"$20,500","$2,000","$18,500"
Credit Suisse Securities,Switzerland/Credit Suisse Group,"$22,000","$6,000","$16,000"
CRH Americas (CRH PLC),Ireland/CRH PLC,"$302,500","$78,500","$224,000"
CSL Behring,Australia/CSL Ltd,"$37,500","$14,500","$23,000"
Daimler Trucks North America (Daimler AG),Germany/Daimler AG,"$2,500",$0,"$2,500"
Delhaize America,Belgium/Ahold Delhaize,"$5,500","$2,000","$3,500"
Deutsche Bank Securities,Germany/Deutsche Bank AG,$0,$0,$0
Diageo North America (Diageo PLC),UK/Diageo PLC,"$29,477","$17,234","$12,243"
Direct Energy Inc,UK/Centrica Plc,"$4,000","$2,500","$1,500"
Eaton Corp (Eaton Corp),Ireland/Eaton Plc,"$25,500","$11,000","$14,500"
EDF Renewables (EDF Group),France/EDF Group,"$15,000","$10,000","$5,000"
EDP Renewables NA,Portugal/EDP Renovaveis,"$12,000","$6,000","$6,000"
Eisai Inc,Japan/Eisai Co Ltd,"$7,500","$2,500","$5,000"
Elbit Systems of America,Israel/Elbit Systems Ltd,"$38,700","$7,600","$31,100"
Elekta Inc (Elekta AB),Sweden/Elekta AB,"$42,500","$22,000","$20,500"
Embraer Aircraft Holdings,Brazil/Embraer-Empresa Brasileira de Aeronautic,"$26,000","$8,000","$18,000"
EMD Serono Inc,Germany/Merck KGaA,"$67,500","$33,000","$34,500"
Enbridge Inc,Canada/Enbridge Inc,"$24,500","$12,000","$12,500"
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0
ENGIE North America,France/ENGIE,$0,$0,$0
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$18,500","$9,500","$9,000"
Experian,UK/Experian plc,"$352,500","$147,500","$205,000"
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$118,000","$43,500","$74,500"
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,$0,$0,$0
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$43,000","$14,500","$28,500"
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$1,400","$1,400",$0
Framatome (EDF Group),France/EDF Group,"$18,500","$14,000","$4,500"
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$197,000","$113,500","$83,500"
G4S Secure Solutions,UK/G4S plc,$0,$0,$0
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$10,500",$0,"$10,500"
GE Appliances,China/Haier Group,"$8,500","$5,000","$3,500"
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$282,000","$131,000","$151,000"
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0
Gerdau Ameristeel Corp,Brazil/Gerdau,"$3,000",$0,"$3,000"
Glanbia Foods,Ireland/Glanbia PLC,$0,$0,$0
GlaxoSmithKline,UK/GlaxoSmithKline,"$91,500","$39,500","$52,000"
Glover Park Group (WPP Group),UK/WPP Group,"$71,700","$54,200","$17,500"
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$8,000","$1,000","$7,000"
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0,$0,$0
Greyhound Lines,UK/FirstGroup PLC,"$10,000","$8,500","$1,500"
Headwaters Inc,Australia/Boral Ltd,"$11,000",$0,"$11,000"
Heineken USA,Netherlands/L'Arche Green NV,"$26,500","$13,500","$13,000"
Herbalife Nutrition,UK/Herbalife Ltd,"$53,500","$34,000","$19,500"
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$56,000","$22,000","$34,000"
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$3,000",$0,"$3,000"
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$97,000","$40,000","$57,000"
IBI Group Engineering Services,Canada/IBI Group,$0,$0,$0
IDEMIA Identity & Security (IDEMIA),France/Safran SA,"$6,000","$2,500","$3,500"
Infineon Technologies,Germany/Infineon Technologies AG,"$12,000","$8,500","$3,500"
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$4,000","$2,000","$2,000"
Intelsat Holdings (Serafina SA),Luxembourg/Intelsat SA,"$1,500",$0,"$1,500"
Intergraph Corp,Sweden/Hexagon AB,$0,$0,$0
International Game Technology,Italy/B&D Holding Di Marco Drago e C Sapa,"$26,300","$17,800","$8,500"
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0
ITG Brands,UK/Imperial Brands,"$10,000","$2,500","$7,500"
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$124,500","$36,000","$88,500"
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$58,000","$10,000","$48,000"
JBS USA,Brazil/JBS SA,"$18,000","$3,000","$15,000"
John Hancock Life Insurance,Canada/Manulife Financial,"$62,000","$31,500","$30,500"
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$170,400","$75,400","$95,000"
Komatsu Mining,Japan/Komatsu Ltd,"$16,500",$0,"$16,500"
LafargeHolcim (LafargeHolcim),Switzerland/LaFargeHolcim,"$33,000","$6,500","$26,500"
Lanxess Corp,Germany/Lanxess Corp,"$1,000",$500,$500
Lehigh Hanson,Germany/HeidelbergCement AG,"$64,500","$12,500","$52,000"
Leonardo DRS,Italy/Finmeccanica SpA,"$76,000","$38,000","$38,000"
Lincare Holdings (Linde plc),UK/Linde plc,"$5,500",$0,"$5,500"
Linde North America (Linde plc),UK/Linde plc,$0,$0,$0
Linde plc (Linde plc),UK/Linde Plc,"$7,000","$6,000","$1,000"
Livanova Inc,UK/Livanova Plc,"$2,000",$0,"$2,000"
Louis Dreyfus Co,Netherlands/Louis Dreyfus Holding B.V.,"$3,000",$0,"$3,000"
LSEG US,UK/London Stock Exchange Group,"$21,500","$12,000","$9,500"
Lundbeck Inc,Denmark/H Lundbeck A/S,"$44,500","$21,000","$23,500"
Maersk Inc (AP Moller-Maersk),Denmark/AP Møller-Mærsk,"$20,500","$13,500","$7,000"
Magnolia LNG,Australia/LNG Limited,$0,$0,$0
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$51,000","$14,000","$37,000"
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$17,000","$3,500","$13,500"
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$2,500",$0,"$2,500"
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$50,000","$11,000","$39,000"
MBDA Inc,UK/MBDA,$0,$0,$0
Medtronic Inc,Ireland/Medtronic Plc,"$132,000","$66,500","$65,500"
Messer North America,Germany/Messer Group,$0,$0,$0
MillerCoors LLC (Molson Coors Brewing),Canada/Molson Coors Brewing,"$39,000","$13,500","$25,500"
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$1,000",$0,"$1,000"
Mr Cooper Group (SoftBank Corp),Japan/SoftBank Corp,"$12,000","$5,000","$7,000"
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,$0,$0,$0
Munich American Reassurance,Germany/Munich Re Group,"$5,000","$5,000",$0
Mylan Inc,Netherlands/Mylan NV,"$129,500","$61,000","$68,500"
Nammo Talley Inc,Norway/Nammo AS,"$3,500","$1,000","$2,500"
National Grid USA (National Grid plc),UK/National Grid plc,"$22,000","$16,500","$5,500"
Natixis Investment Managers,France/Groupe BPCE,"$4,011","$1,000","$3,011"
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle,"$2,000",$0,"$2,000"
Nomura Holding America,Japan/Nomura Holdings,"$47,500","$30,000","$17,500"
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$150,000","$66,000","$84,000"
Novo Nordisk,Denmark/Novo Nordisk A/S,"$178,013","$97,927","$80,086"
Novocure Inc,UK/Novocure,"$37,800","$1,000","$36,800"
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$10,000","$2,500","$7,500"
Orano USA (Orano Group),France/Orano Group,"$1,500",$0,"$1,500"
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$20,500","$13,500","$7,000"
