name,country_parent,total,dems,repubs,year
Enbridge Inc,Canada/Enbridge Inc,"$24,500","$12,000","$12,500",2020
Endo Pharmaceuticals,Ireland/Endo International,$0,$0,$0,2020
ENGIE North America,France/ENGIE,$0,$0,$0,2020
Ericsson Inc,Sweden/Telefonaktiebolaget LM Ericsson,"$18,500","$9,500","$9,000",2020
Experian,UK/Experian plc,"$352,500","$147,500","$205,000",2020
Farmers Group (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$118,000","$43,500","$74,500",2020
First Hawaiian Bank (BNP Paribas),France/BNP Paribas,$0,$0,$0,2020
Florida East Coast Industries (SoftBank Corp),Japan/SoftBank Corp,"$43,000","$14,500","$28,500",2020
Florida East Coast Railway (Grupo Mexico),Mexico/Grupo Mexico,"$1,400","$1,400",$0,2020
Framatome (EDF Group),France/EDF Group,"$18,500","$14,000","$4,500",2020
Fresenius Medical Care North America,Germany/Fresenius Medical Care,"$197,000","$113,500","$83,500",2020
G4S Secure Solutions,UK/G4S plc,$0,$0,$0,2020
Garmin International (Garmin Ltd),Switzerland/Garmin Ltd,"$10,500",$0,"$10,500",2020
GE Appliances,China/Haier Group,"$8,500","$5,000","$3,500",2020
Genentech Inc (Roche Holdings),Switzerland/Roche Holdings,"$282,000","$131,000","$151,000",2020
General Cigar Co,Sweden/Scandinavian Tobacco Group,$0,$0,$0,2020
Gerdau Ameristeel Corp,Brazil/Gerdau,"$3,000",$0,"$3,000",2020
Glanbia Foods,Ireland/Glanbia PLC,$0,$0,$0,2020
GlaxoSmithKline,UK/GlaxoSmithKline,"$91,500","$39,500","$52,000",2020
Glover Park Group (WPP Group),UK/WPP Group,"$71,700","$54,200","$17,500",2020
Grand Trunk Western-Illinois Central RR,Canada/Canadian National Railway,"$8,000","$1,000","$7,000",2020
Great-West Life & Annuity Insurance (Power Financial Corp),Canada/Power Financial Corp,$0,$0,$0,2020
Greyhound Lines,UK/FirstGroup PLC,"$10,000","$8,500","$1,500",2020
Headwaters Inc,Australia/Boral Ltd,"$11,000",$0,"$11,000",2020
Heineken USA,Netherlands/L'Arche Green NV,"$26,500","$13,500","$13,000",2020
Herbalife Nutrition,UK/Herbalife Ltd,"$53,500","$34,000","$19,500",2020
Horizon Therapeutics,Ireland/Horizon Pharma PLC,"$56,000","$22,000","$34,000",2020
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$3,000",$0,"$3,000",2020
HSBC North America (HSBC Holdings),UK/HSBC Holdings,"$97,000","$40,000","$57,000",2020
IBI Group Engineering Services,Canada/IBI Group,$0,$0,$0,2020
IDEMIA Identity & Security (IDEMIA),France/Safran SA,"$6,000","$2,500","$3,500",2020
Infineon Technologies,Germany/Infineon Technologies AG,"$12,000","$8,500","$3,500",2020
Ingersoll-Rand,Ireland/Ingersoll Rand Co,"$4,000","$2,000","$2,000",2020
Intelsat Holdings (Serafina SA),Luxembourg/Intelsat SA,"$1,500",$0,"$1,500",2020
Intergraph Corp,Sweden/Hexagon AB,$0,$0,$0,2020
International Game Technology,Italy/B&D Holding Di Marco Drago e C Sapa,"$26,300","$17,800","$8,500",2020
Ipsen Biopharmaceuticals,France/Ipsen SA,$0,$0,$0,2020
ITG Brands,UK/Imperial Brands,"$10,000","$2,500","$7,500",2020
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$124,500","$36,000","$88,500",2020
Jackson National Life Insurance (Prudential PLC),UK/Prudential PLC,"$58,000","$10,000","$48,000",2020
JBS USA,Brazil/JBS SA,"$18,000","$3,000","$15,000",2020
John Hancock Life Insurance,Canada/Manulife Financial,"$62,000","$31,500","$30,500",2020
Johnson Controls (Johnson Controls International),Ireland/Johnson Controls International,"$170,400","$75,400","$95,000",2020
Komatsu Mining,Japan/Komatsu Ltd,"$16,500",$0,"$16,500",2020
LafargeHolcim (LafargeHolcim),Switzerland/LaFargeHolcim,"$33,000","$6,500","$26,500",2020
Lanxess Corp,Germany/Lanxess Corp,"$1,000",$500,$500,2020
Lehigh Hanson,Germany/HeidelbergCement AG,"$64,500","$12,500","$52,000",2020
Leonardo DRS,Italy/Finmeccanica SpA,"$76,000","$38,000","$38,000",2020
Lincare Holdings (Linde plc),UK/Linde plc,"$5,500",$0,"$5,500",2020
Linde North America (Linde plc),UK/Linde plc,$0,$0,$0,2020
Linde plc (Linde plc),UK/Linde Plc,"$7,000","$6,000","$1,000",2020
Livanova Inc,UK/Livanova Plc,"$2,000",$0,"$2,000",2020
Louis Dreyfus Co,Netherlands/Louis Dreyfus Holding B.V.,"$3,000",$0,"$3,000",2020
LSEG US,UK/London Stock Exchange Group,"$21,500","$12,000","$9,500",2020
Lundbeck Inc,Denmark/H Lundbeck A/S,"$44,500","$21,000","$23,500",2020
Maersk Inc (AP Moller-Maersk),Denmark/AP Møller-Mærsk,"$20,500","$13,500","$7,000",2020
Magnolia LNG,Australia/LNG Limited,$0,$0,$0,2020
Mallinckrodt Pharmaceuticals,UK/Mallinckrodt Plc,"$51,000","$14,000","$37,000",2020
Marinette Marine,Italy/Fincantieri-Cantieri Navali Italiani SpA,"$17,000","$3,500","$13,500",2020
Massachusetts Financial Services (Sun Life Financial),Canada/Sun Life Financial Services,"$2,500",$0,"$2,500",2020
Maxar Technologies (Maxar Technologies),Canada/Maxar Technologies,"$50,000","$11,000","$39,000",2020
MBDA Inc,UK/MBDA,$0,$0,$0,2020
Medtronic Inc,Ireland/Medtronic Plc,"$132,000","$66,500","$65,500",2020
Messer North America,Germany/Messer Group,$0,$0,$0,2020
MillerCoors LLC (Molson Coors Brewing),Canada/Molson Coors Brewing,"$39,000","$13,500","$25,500",2020
Mitsubishi Hitachi Power Systems,Japan/Mitsubishi Hitachi Power Systems,"$1,000",$0,"$1,000",2020
Mr Cooper Group (SoftBank Corp),Japan/SoftBank Corp,"$12,000","$5,000","$7,000",2020
MUFG Americas,Japan/Mitsubishi UFJ Financial Group,$0,$0,$0,2020
Munich American Reassurance,Germany/Munich Re Group,"$5,000","$5,000",$0,2020
Mylan Inc,Netherlands/Mylan NV,"$129,500","$61,000","$68,500",2020
Nammo Talley Inc,Norway/Nammo AS,"$3,500","$1,000","$2,500",2020
National Grid USA (National Grid plc),UK/National Grid plc,"$22,000","$16,500","$5,500",2020
Natixis Investment Managers,France/Groupe BPCE,"$4,011","$1,000","$3,011",2020
Nestle Purina PetCare (Nestle SA),Switzerland/Nestle,"$2,000",$0,"$2,000",2020
Nomura Holding America,Japan/Nomura Holdings,"$47,500","$30,000","$17,500",2020
NOVA Chemicals,United Arab Emirates/International Petroleum Investment Co,$0,$0,$0,2020
Novartis Corp (Novartis AG),Switzerland/Novartis AG,"$150,000","$66,000","$84,000",2020
Novo Nordisk,Denmark/Novo Nordisk A/S,"$178,013","$97,927","$80,086",2020
Novocure Inc,UK/Novocure,"$37,800","$1,000","$36,800",2020
Nutrien Ag Solutions,Canada/Nutrien Ltd,"$10,000","$2,500","$7,500",2020
Orano USA (Orano Group),France/Orano Group,"$1,500",$0,"$1,500",2020
Otsuka America (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$20,500","$13,500","$7,000",2020
Ovintiv USA (Ovintiv Inc),Canada/EnCana Corp,"$20,500","$6,000","$14,500",2020
Permobil Inc (Investor AB),Sweden/Investor AB,$0,$0,$0,2020
Pernod Ricard USA,France/Pernod Ricard SA,"$7,500","$2,000","$5,500",2020
Peter Pan Seafoods,Japan/Maruha Nichiro Holdings,$0,$0,$0,2020
Pharmavite LLC (Otsuka Pharmaceutical),Japan/Otsuka Pharmaceutical,"$32,000","$18,000","$14,000",2020
Philips Electronics North America (Philips),Netherlands/Philips Electronics,"$65,000","$35,000","$30,000",2020
Protective Life Corp (Dai-Ichi Life),Japan/Dai-Ichi Life,"$84,800","$13,000","$71,800",2020
Purpose Financial (Grupo Salinas),Mexico/Grupo Salinas,"$10,500","$1,000","$9,500",2020
Putnam Investments (Power Financial Corp),Canada/Power Financial Corp,"$5,237",$0,"$5,237",2020
RBC Bank (Royal Bank of Canada),Canada/Royal Bank of Canada,"$21,500","$12,500","$9,000",2020
Recurrent Energy,Canada/Canadian Solar,$0,$0,$0,2020
RELX Inc,UK/RELX Group,"$168,000","$74,000","$94,000",2020
Resolute Forest Products,Canada/Resolute Forest Products,"$40,500","$10,000","$30,500",2020
Reynolds American (British American Tobacco),UK/British American Tobacco plc,"$159,000","$34,000","$125,000",2020
Rio Tinto America,UK/Rio Tinto Group,"$3,500",$0,"$3,500",2020
Roche Diagnostics (Roche Holdings),Switzerland/Roche Holdings,"$35,500","$11,500","$24,000",2020
Rolls-Royce North America (Rolls-Royce PLC),UK/Rolls-Royce PLC,"$125,500","$40,500","$85,000",2020
Safelite Group,Belgium/D'Ieteren SA,-$500,$0,-$500,2020
Samsung Electronics America,South Korea/Samsung Group,"$114,500","$68,000","$46,500",2020
Sanofi US (Sanofi),France/Sanofi,"$152,500","$77,500","$75,000",2020
Santander Bank (Banco Santander),Spain/Banco Santander,"$54,500","$29,000","$25,500",2020
SAP America,Germany/SAP Aktiengesellschaft,"$24,500","$17,500","$7,000",2020
Securitas Security Services USA,Sweden/Securitas AB,$0,$0,$0,2020
Serco Inc,UK/Serco Group,"$37,000","$21,000","$16,000",2020
Shell Oil,Netherlands/Royal Dutch-Shell Group,"$4,000",$0,"$4,000",2020
Shire Holdings US (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"-$12,500","-$1,500","-$11,000",2020
Siemens Corp,Germany/Siemens AG,"$52,500","$27,500","$25,000",2020
Smith & Nephew,UK/Smith & Nephew Plc,"$54,500","$23,000","$31,500",2020
Smithfield Foods,China/WH Group,"$32,500","$8,000","$24,500",2020
Smiths Group Services Corp (Smiths Group),UK/Smiths Group PLC,"$34,000","$14,500","$19,500",2020
Sodexo Inc,France/Sodexo,"$3,000",$0,"$3,000",2020
Solvay America,Belgium/Solvay SA,"$28,500","$13,500","$15,000",2020
Sony Pictures Entertainment (Sony Corp),Japan/Sony Corp,"$78,500","$53,500","$25,000",2020
Sprint Communications (SoftBank Corp),Japan/Softbank Corp,"$97,000","$48,000","$49,000",2020
SSAB Americas,Sweden/SSAB AB,"$11,000","$2,000","$9,000",2020
Standard Insurance Co,Japan/Meiji Yasuda Life Insurance,$0,$0,$0,2020
Steris Corp,UK/Steris PLC,"$8,750","$6,500","$2,250",2020
SUEZ Water,France/SUEZ Environnement,"$3,500","$2,500","$1,000",2020
Sun Life Financial (Sun Life Financial),Canada/Sun Life Financial,"$60,000","$35,500","$22,000",2020
Sunovion Pharmaceuticals (Sumitomo Chemical),Japan/Sumitomo Chemical,"$46,500","$20,500","$26,000",2020
Sunpower Corp,France/Total SA,"$12,000","$12,000",$0,2020
Swedish Match North America (Swedish Match AB),Sweden/Swedish Match AB,"$1,000",$0,"$1,000",2020
Swiss Re America,Switzerland/Swiss Re,"$61,000","$35,000","$26,000",2020
Syngenta Corp,China/ChemChina,"$40,000","$16,000","$24,000",2020
T-Mobile USA,Germany/Deutsche Telekom AG,"$484,000","$249,000","$234,000",2020
Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co),Japan/Takeda Pharmaceutical Co,"$53,000","$26,000","$27,000",2020
Tate & Lyle Americas (Tate & Lyle),UK/Tate & Lyle,"$10,750","$2,000","$8,750",2020
TD Bank USA,Canada/Toronto-Dominion Bank,"$59,700","$21,200","$38,500",2020
TE Connectivity,Switzerland/TE Connectivity,"$23,000","$6,000","$17,000",2020
Teva Pharmaceuticals USA,Israel/Teva Pharmaceutical Industries,"$30,500","$7,500","$23,000",2020
Toyota Motor North America,Japan/Toyota Motor Corp,"$563,500","$272,000","$291,500",2020
TransAmerica,Netherlands/Aegon NV,"$285,000","$140,500","$143,500",2020
Transcanada USA Services (Transcanada Corp),Canada/TransCanada Corp,"$81,000","$29,000","$52,000",2020
Travelport Inc,UK/Travelport Ltd,$0,$0,$0,2020
UBS Americas,Switzerland/UBS AG,"$772,500","$342,000","$430,500",2020
UCB Inc (UCB SA),Belgium/UCB SA,"$8,000","$1,500","$6,500",2020
Ultra Electronics USA,UK/Ultra Electronics,"$17,500","$7,500","$10,000",2020
Universal Music Group (Vivendi),France/Vivendi,"$65,000","$38,000","$27,000",2020
Valent USA (Sumitomo Chemical),Japan/Sumitomo Chemical,"$8,000","$4,000","$4,000",2020
VNA Holding (AB Volvo),Sweden/AB Volvo,"$28,000","$9,000","$19,000",2020
VT Halter Marine,Singapore/ST Engineering,"$8,700",$0,"$8,700",2020
Washington Gas Light Co (AltaGas Ltd),Canada/AltaGas Ltd,"$9,500","$7,500","$2,000",2020
Westinghouse Electric,Canada/Brookfield Business Partners,"$17,000","$3,500","$13,500",2020
Wexler & Walker Public Policy Assoc (WPP Group),UK/WPP Group,$0,$0,$0,2020
WSP worldwide,Canada/WSP Global,"$70,250","$48,250","$22,000",2020
XL America (AXA),France/AXA,$0,$0,$0,2020
ZF TRW Automotive (ZF Friedrichshafen AG),Germany/ZF Friedrichshafen AG,$0,$0,$0,2020
Zurich Insurance (Zurich Insurance Group),Switzerland/Zurich Financial Services AG,"$99,000","$59,500","$39,500",2020
